Tm,#Fld,RA/G,DefEff,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr
ARI,44,4.59,0.692,162,1458,1005,13185,6042,4395,1561,86,136,0.986,53,5,73,7
ATL,50,4.59,0.685,162,1458,1127,13056,5952,4352,1522,78,154,0.987,5,0,38,3
BAL,57,6.06,0.688,162,1458,989,12987,5879,4329,1442,108,155,0.982,6,1,-91,-8
BOS,47,5.11,0.673,162,1458,1106,13239,5937,4413,1436,88,115,0.985,-7,-1,-37,-1
CHC,52,4.43,0.681,162,1458,969,12978,6063,4326,1619,118,141,0.981,9,1,-7,0
CHW,47,5.17,0.678,161,1449,1132,12714,5880,4238,1525,117,171,0.98,-13,-1,-59,-6
CIN,47,4.39,0.699,162,1458,972,12942,5865,4314,1460,91,124,0.984,6,1,45,1
CLE,53,4.06,0.695,162,1458,1138,12939,5718,4313,1322,83,110,0.985,38,4,54,1
COL,50,5.91,0.677,162,1458,1112,13038,6201,4346,1758,97,165,0.984,2,0,-7,0
DET,53,5.68,0.666,161,1449,1214,12897,5861,4299,1452,110,127,0.981,-98,-9,-84,-1
HOU,45,3.95,0.717,162,1458,1043,13161,5811,4387,1353,71,96,0.988,54,5,55,1
KCR,51,5.36,0.678,162,1458,1165,12825,5853,4275,1505,73,152,0.988,-2,0,8,1
LAA,56,5.36,0.695,162,1458,1080,12984,5889,4328,1469,92,118,0.984,4,0,-6,0
LAD,45,3.78,0.71,162,1458,977,13011,5871,4337,1428,106,117,0.982,55,5,88,1
MIA,50,4.99,0.703,162,1458,1058,12999,5791,4333,1364,94,135,0.984,-20,-2,-2,0
MIL,49,4.73,0.691,162,1458,1013,13134,5870,4378,1395,97,135,0.983,0,0,35,3
MIN,49,4.65,0.673,162,1458,1105,13170,5906,4390,1405,111,130,0.981,-10,-1,-13,0
NYM,52,4.55,0.679,162,1458,933,13149,5917,4383,1435,99,129,0.983,-44,-4,-91,-8
NYY,54,4.56,0.686,162,1458,1132,12987,5778,4329,1347,102,135,0.982,9,1,-3,0
OAK,49,4.2,0.71,162,1458,1124,13185,5939,4395,1464,80,123,0.987,32,3,29,0
PHI,53,4.9,0.687,162,1458,1122,13083,6010,4361,1552,97,136,0.984,8,1,47,1
PIT,54,5.62,0.666,162,1458,1068,12960,5934,4320,1493,121,130,0.98,-61,-6,-49,-1
SDP,54,4.87,0.68,162,1458,1041,12888,5798,4296,1386,116,100,0.98,-36,-3,27,2
SEA,67,5.51,0.688,162,1458,1123,12954,5940,4318,1490,132,145,0.978,-16,-1,-87,-1
SFG,63,4.77,0.699,162,1458,1079,13221,6033,4407,1536,90,142,0.985,18,2,35,1
STL,42,4.09,0.706,162,1458,1051,12996,5976,4332,1578,66,168,0.989,44,4,66,1
TBR,57,4.05,0.695,162,1458,1076,13269,5924,4423,1414,87,126,0.985,35,3,29,3
TEX,53,5.42,0.671,162,1458,1170,12942,5783,4314,1364,105,143,0.982,-29,-3,-58,-1
TOR,61,5.11,0.685,162,1458,1153,12963,5920,4321,1503,96,141,0.984,8,1,-21,0
WSN,50,4.47,0.689,162,1458,1171,12954,5779,4318,1374,87,111,0.985,1,0,-6,0
LgAvg,47,4.83,0.688,162,1457,1082,13027,5904,4342,1465,97,134,0.984,2,0,,
,1400,4.83,0.688,4858,43722,32448,390810,177120,130270,43952,2898,4010,0.984,51,0,,