,,Starting Pitchers,,,,,Bullpen,,,
Rk,Tm,#1,#2,#3,#4,#5,Closer,#2,#3,#4
1,"ARI (85-77, 11.73 dWAR)",R.Ray (1.53),M.Kelly (1.38),Z.Greinke (4.22),T.Clarke (-0.26),A.Young (0.75),A.Bradley (1.00),Y.Lopez (0.61),A.Chafin (0.72),Y.Hirano (-0.33)
2,"ATL (97-65, 14.61 dWAR)",J.Teheran (2.70),M.Fried (2.61),M.Soroka (5.67),M.Foltynewicz (0.92),D.Keuchel (2.05),L.Jackson (0.69),J.Tomlin (1.06),J.Blevins (0.32),S.Newcomb (1.24)
3,"BAL (54-108, 6.40 dWAR)",D.Bundy (2.32),J.Means (4.49),A.Cashner (2.69),A.Wojciechowski (1.35),D.Hess (-1.09),M.Givens (0.61),M.Castro (0.57),P.Fry (-0.20),R.Bleier (0.26)
4,"BOS (84-78, 18.82 dWAR)",E.Rodriguez (5.97),R.Porcello (1.22),C.Sale (2.32),D.Price (1.83),N.Eovaldi (0.12),B.Workman (3.16),M.Barnes (1.26),M.Walden (1.22),R.Brasier (0.17)
5,"CHC (84-78, 19.24 dWAR)",Y.Darvish (3.30),J.Lester (1.26),J.Quintana (1.15),K.Hendricks (3.77),C.Hamels (3.01),P.Strop (0.01),S.Cishek (1.78),K.Ryan (1.07),B.Kintzler (1.70)
6,"CHW (72-89, 11.84 dWAR)",I.Nova (2.12),R.Lopez (0.52),L.Giolito (5.61),D.Cease (-0.17),R.Detwiler (-0.50),A.Colome (0.98),J.Fry (0.15),K.Herrera (-0.39),J.Osich (0.45)
7,"CIN (75-87, 17.43 dWAR)",L.Castillo (4.72),S.Gray (5.59),A.DeSclafani (2.87),T.Mahle (0.10),T.Roark (1.57),R.Iglesias (0.78),M.Lorenzen (2.02),R.Stephenson (0.63),A.Garrett (1.21)
8,"CLE (93-69, 20.07 dWAR)",S.Bieber (4.95),T.Bauer (1.89),Z.Plesac (1.83),M.Clevinger (4.23),A.Plutko (0.47),B.Hand (1.21),A.Cimber (0.13),O.Perez (0.42),N.Wittgren (1.02)
9,"COL (71-91, 11.64 dWAR)",G.Marquez (3.48),J.Gray (4.46),A.Senzatela (-0.12),K.Freeland (-0.70),P.Lambert (-0.41),W.Davis (-1.34),B.Shaw (0.58),C.Estevez (1.57),J.Diaz (0.64)
10,"DET (47-114, 12.18 dWAR)",M.Boyd (3.48),S.Turnbull (2.27),D.Norris (2.89),J.Zimmermann (-0.34),R.Carpenter (-1.13),S.Greene (1.72),J.Jimenez (0.62),B.Farmer (1.44),V.Alcantara (0.37)
11,"HOU (107-55, 26.01 dWAR)",J.Verlander (7.82),G.Cole (6.91),W.Miley (1.99),B.Peacock (1.32),Z.Greinke (1.34),R.Osuna (1.99),C.Devenski (0.04),W.Harris (2.07),J.James (0.11)
12,"KCR (59-103, 5.52 dWAR)",J.Junis (0.82),B.Keller (2.62),G.Sparkman (-0.20),D.Duffy (1.76),J.Lopez (-1.34),I.Kennedy (1.41),K.McCarthy (0.46),S.Barlow (0.84),W.Peralta (-0.35)
13,"LAA (72-90, 5.22 dWAR)",A.Heaney (0.96),G.Canning (1.13),J.Suarez (-1.20),T.Skaggs (0.91),J.Barria (-0.54),H.Robles (2.57),L.Garcia (0.14),T.Buttrey (0.93),J.Anderson (-0.38)
14,"LAD (106-56, 16.15 dWAR)",W.Buehler (2.18),H.Ryu (5.07),C.Kershaw (3.54),K.Maeda (1.33),R.Stripling (0.89),K.Jansen (0.17),Y.Garcia (0.29),P.Baez (0.45),J.Kelly (-0.53)
15,"MIA (57-105, 7.22 dWAR)",S.Alcantara (3.12),C.Smith (1.46),P.Lopez (0.50),T.Richards (1.26),E.Hernandez (0.31),S.Romo (0.26),A.Conley (-1.10),T.Kinley (0.76),J.Garcia (1.27)
16,"MIL (89-73, 11.66 dWAR)",Z.Davies (2.61),C.Anderson (1.80),B.Woodruff (2.90),J.Chacin (-0.67),A.Houser (1.72),J.Hader (2.62),A.Claudio (0.56),J.Guerra (1.28),M.Albers (-0.19)
17,"MIN (101-61, 15.21 dWAR)",J.Berrios (3.32),J.Odorizzi (3.63),M.Perez (0.23),K.Gibson (0.29),M.Pineda (2.49),T.Rogers (2.49),T.May (1.25),T.Duffey (0.95),R.Harper (0.61)
18,"NYM (86-76, 17.70 dWAR)",N.Syndergaard (2.26),J.deGrom (7.30),Z.Wheeler (3.45),S.Matz (1.91),J.Vargas (1.62),E.Diaz (-0.55),J.Familia (-0.44),S.Lugo (2.15),R.Gsellman (-0.03)
19,"NYY (103-59, 13.46 dWAR)",M.Tanaka (1.71),J.Happ (1.21),J.Paxton (2.24),D.German (1.92),C.Sabathia (0.37),A.Chapman (1.52),Z.Britton (2.38),A.Ottavino (2.17),T.Kahnle (0.75)
20,"OAK (97-65, 17.56 dWAR)",M.Fiers (2.88),B.Anderson (2.52),C.Bassitt (1.77),F.Montas (2.27),H.Bailey (0.79),L.Hendriks (3.45),B.Treinen (-0.34),J.Soria (0.37),Y.Petit (2.23)
21,"PHI (81-81, 9.01 dWAR)",A.Nola (3.65),Z.Eflin (1.46),J.Arrieta (0.90),V.Velasquez (0.12),N.Pivetta (-0.47),H.Neris (1.75),J.Alvarez (0.82),J.Nicasio (-0.07),E.Garcia (-0.15)
22,"PIT (69-93, 3.39 dWAR)",J.Musgrove (1.67),T.Williams (0.45),C.Archer (0.71),S.Brault (0.61),J.Lyles (0.11),F.Vazquez (2.86),R.Rodriguez (0.84),F.Liriano (0.99),M.Feliz (0.62)
23,"SDP (70-92, 5.99 dWAR)",J.Lucchesi (1.99),E.Lauer (0.99),C.Paddack (2.74),C.Quantrill (0.07),M.Strahm (0.71),K.Yates (2.79),C.Stammen (0.84),L.Perdomo (0.49),T.Wingenter (-0.52)
24,"SEA (68-94, 7.26 dWAR)",M.Gonzales (3.21),Y.Kikuchi (0.39),M.Leake (1.72),F.Hernandez (-0.64),E.Swanson (-0.30),R.Elias (-0.11),A.Bass (0.95),B.Brennan (0.39),C.Gearrin (0.69)
25,"SFG (77-85, 9.26 dWAR)",M.Bumgarner (2.51),J.Samardzija (2.91),T.Beede (0.08),D.Pomeranz (-0.36),S.Anderson (-0.45),W.Smith (2.06),T.Watson (0.22),R.Moronta (1.32),M.Melancon (0.58)
26,"STL (91-71, 16.57 dWAR)",J.Flaherty (5.87),M.Mikolas (1.84),D.Hudson (2.23),A.Wainwright (1.85),M.Wacha (0.24),C.Martinez (0.85),J.Brebbia (0.75),A.Miller (-0.44),J.Gant (0.68)
27,"TBR (96-66, 21.43 dWAR)",C.Morton (5.06),R.Stanek (0.89),B.Snell (1.39),Y.Chirinos (2.29),R.Yarbrough (1.48),E.Pagan (2.40),C.Roe (0.06),D.Castillo (0.56),A.Kolarek (0.53)
28,"TEX (78-84, 22.53 dWAR)",M.Minor (7.78),L.Lynn (7.61),A.Jurado (-0.16),A.Sampson (1.20),J.Chavez (0.71),J.Leclerc (1.41),S.Kelley (0.83),B.Martin (0.65),C.Martin (1.51)
29,"TOR (67-95, 11.64 dWAR)",T.Thornton (1.72),A.Sanchez (-0.38),M.Stroman (3.21),W.Font (0.87),J.Waguespack (0.93),K.Giles (2.44),T.Mayza (0.22),D.Law (0.10),J.Biagini (0.72)
30,"WSN (93-69, 23.08 dWAR)",P.Corbin (5.65),S.Strasburg (6.29),A.Sanchez (3.66),M.Scherzer (5.78),E.Fedde (1.08),S.Doolittle (0.99),W.Suero (0.65),M.Grace (-0.50),T.Rainey (0.58)